hole,variation,lat,lon
1,X,32.8458665578075,-116.993756972411
2,X,32.8463846695666,-116.992853992301
3,X,32.8471213491573,-116.992070123085
4,X,32.8475673784539,-116.991550307678
5,X,32.8462801895911,-116.991475024164
6,X,32.845120624258,-116.992124519221
7,X,32.8455600430377,-116.992117850963
8,X,32.8464898833495,-116.991698959938
9,X,32.8458275899692,-116.992265828452
